,id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,weekday,dayofyear,day_of_week,month,year,weekofyear,quarter,is_weekend,is_month_start,is_month_end,is_year_start,is_year_end,days_in_month,weekofmonth,is_leap_year
252,1308221,2013-08-22,1,132.916428220302,4.0,21.6625,8.0,,0.0,3,234,Thursday,8,2013,34,3,0,0,0,0,0,31,4,0
257,1308231,2013-08-23,1,162.958958703106,1.0,22.0375,14.0,,0.0,4,235,Friday,8,2013,34,3,0,0,0,0,0,31,4,0
262,1308241,2013-08-24,1,201.543109556297,0.0,20.85,16.0,5.0,0.0,5,236,Saturday,8,2013,34,3,1,0,0,0,0,31,4,0
267,1308251,2013-08-25,1,83.0226725739551,0.0,21.3875,16.0,5.0,0.0,6,237,Sunday,8,2013,34,3,1,0,0,0,0,31,4,0
272,1308261,2013-08-26,1,165.829031676714,0.0,20.125,15.0,5.0,0.0,0,238,Monday,8,2013,35,3,0,0,0,0,0,31,4,0
277,1308271,2013-08-27,1,118.473650434102,1.0,21.0875,12.0,,0.0,1,239,Tuesday,8,2013,35,3,0,0,0,0,0,31,4,0
282,1308281,2013-08-28,1,108.876991442649,0.0,21.3,7.0,,0.0,2,240,Wednesday,8,2013,35,3,0,0,0,0,0,31,4,0
287,1308291,2013-08-29,1,178.178023803315,3.0,20.2125,11.0,,0.0,3,241,Thursday,8,2013,35,3,0,0,0,0,0,31,5,0
292,1308301,2013-08-30,1,133.150828452892,6.0,19.7875,8.0,5.0,0.0,4,242,Friday,8,2013,35,3,0,0,0,0,0,31,5,0
297,1308311,2013-08-31,1,130.821314898435,5.0,18.35,16.0,21.0,0.0,5,243,Saturday,8,2013,35,3,1,0,1,0,0,31,5,0
302,1309011,2013-09-01,1,95.9704314892471,7.0,15.8625,16.0,61.0,0.0,6,244,Sunday,9,2013,35,3,1,1,0,0,0,30,1,0
307,1309021,2013-09-02,1,138.408723210465,7.0,16.575,17.0,63.0,0.0,0,245,Monday,9,2013,36,3,0,0,0,0,0,30,1,0
312,1309031,2013-09-03,1,138.825618927843,7.0,18.225,11.0,21.0,0.0,1,246,Tuesday,9,2013,36,3,0,0,0,0,0,30,1,0
317,1309041,2013-09-04,1,100.221969526295,7.0,18.125,5.0,,0.0,2,247,Wednesday,9,2013,36,3,0,0,0,0,0,30,1,0
322,1309051,2013-09-05,1,173.658100347255,0.0,21.7,8.0,,0.0,3,248,Thursday,9,2013,36,3,0,0,0,0,0,30,1,0
327,1309061,2013-09-06,1,171.415179710314,0.0,24.7,9.0,,0.0,4,249,Friday,9,2013,36,3,0,0,0,0,0,30,1,0
332,1309071,2013-09-07,1,186.034060963767,6.0,22.7625,7.0,,0.0,5,250,Saturday,9,2013,36,3,1,0,0,0,0,30,1,0
337,1309081,2013-09-08,1,88.8925958109828,7.0,20.1625,8.0,61.0,0.0,6,251,Sunday,9,2013,36,3,1,0,0,0,0,30,2,0
342,1309091,2013-09-09,1,169.359968504942,8.0,11.575,11.0,63.0,0.0,0,252,Monday,9,2013,37,3,0,0,0,0,0,30,2,0
347,1309101,2013-09-10,1,89.6944536084346,6.0,13.5875,11.0,65.0,0.0,1,253,Tuesday,9,2013,37,3,0,0,0,0,0,30,2,0
352,1309111,2013-09-11,1,103.363686559795,6.0,13.9,8.0,61.0,0.0,2,254,Wednesday,9,2013,37,3,0,0,0,0,0,30,2,0
357,1309121,2013-09-12,1,106.474399987548,6.0,16.1125,6.0,61.0,0.0,3,255,Thursday,9,2013,37,3,0,0,0,0,0,30,2,0
362,1309131,2013-09-13,1,122.564626199915,6.0,17.4375,5.0,21.0,0.0,4,256,Friday,9,2013,37,3,0,0,0,0,0,30,2,0
367,1309141,2013-09-14,1,174.938807466572,5.0,17.625,10.0,63.0,0.0,5,257,Saturday,9,2013,37,3,1,0,0,0,0,30,2,0
372,1309151,2013-09-15,1,55.1960062296304,7.0,14.8625,10.0,21.0,0.0,6,258,Sunday,9,2013,37,3,1,0,0,0,0,30,3,0
377,1309161,2013-09-16,1,146.760234890658,3.0,13.1375,13.0,21.0,0.0,0,259,Monday,9,2013,38,3,0,0,0,0,0,30,3,0
382,1309171,2013-09-17,1,136.118044538363,5.0,13.1375,10.0,63.0,0.0,1,260,Tuesday,9,2013,38,3,0,0,0,0,0,30,3,0
387,1309181,2013-09-18,1,152.255085210606,4.0,13.05,9.0,,0.0,2,261,Wednesday,9,2013,38,3,0,0,0,0,0,30,3,0
392,1309191,2013-09-19,1,148.674992078993,5.0,14.8375,11.0,63.0,0.0,3,262,Thursday,9,2013,38,3,0,0,0,0,0,30,3,0
397,1309201,2013-09-20,1,110.159250328825,7.0,13.525,6.0,,0.0,4,263,Friday,9,2013,38,3,0,0,0,0,0,30,3,0
402,1309211,2013-09-21,1,178.263887943827,7.0,15.35,9.0,,0.0,5,264,Saturday,9,2013,38,3,1,0,0,0,0,30,3,0
407,1309221,2013-09-22,1,86.6668973821597,6.0,17.1375,14.0,21.0,0.0,6,265,Sunday,9,2013,38,3,1,0,0,0,0,30,4,0
412,1309231,2013-09-23,1,111.128410563554,7.0,17.3125,14.0,21.0,0.0,0,266,Monday,9,2013,39,3,0,0,0,0,0,30,4,0
417,1309241,2013-09-24,1,139.64144576808,8.0,15.7375,10.0,,0.0,1,267,Tuesday,9,2013,39,3,0,0,0,0,0,30,4,0
422,1309251,2013-09-25,1,117.94119333604,6.0,13.5375,7.0,61.0,0.0,2,268,Wednesday,9,2013,39,3,0,0,0,0,0,30,4,0
427,1309261,2013-09-26,1,203.314345156607,1.0,12.9875,12.0,,0.0,3,269,Thursday,9,2013,39,3,0,0,0,0,0,30,4,0
432,1309271,2013-09-27,1,135.507291692088,5.0,13.0125,8.0,21.0,0.0,4,270,Friday,9,2013,39,3,0,0,0,0,0,30,4,0
437,1309281,2013-09-28,1,134.613756840197,0.0,13.1,8.0,,0.0,5,271,Saturday,9,2013,39,3,1,0,0,0,0,30,4,0
442,1309291,2013-09-29,1,68.6316896995448,3.0,14.175,12.0,,0.0,6,272,Sunday,9,2013,39,3,1,0,0,0,0,30,5,0
447,1309301,2013-09-30,1,156.502435955326,1.0,12.825,14.0,,0.0,0,273,Monday,9,2013,40,3,0,0,1,0,0,30,5,0
452,1310011,2013-10-01,1,123.397540137977,0.0,12.9125,13.0,5.0,0.0,1,274,Tuesday,10,2013,40,4,0,1,0,0,0,31,1,0
457,1310021,2013-10-02,1,196.720969158391,1.0,12.7,10.0,,0.0,2,275,Wednesday,10,2013,40,4,0,0,0,0,0,31,1,0
462,1310031,2013-10-03,1,75.2337302417469,0.0,11.7625,12.0,5.0,0.0,3,276,Thursday,10,2013,40,4,0,0,0,0,0,31,1,0
467,1310041,2013-10-04,1,156.066122625816,5.0,11.2,8.0,63.0,0.0,4,277,Friday,10,2013,40,4,0,0,0,0,0,31,1,0
472,1310051,2013-10-05,1,152.280762053885,7.0,15.575,8.0,20.0,0.0,5,278,Saturday,10,2013,40,4,1,0,0,0,0,31,1,0
477,1310061,2013-10-06,1,92.4805772695364,7.0,15.25,6.0,,0.0,6,279,Sunday,10,2013,40,4,1,0,0,0,0,31,1,0
482,1310071,2013-10-07,1,124.841544023845,1.0,16.275,7.0,,0.0,0,280,Monday,10,2013,41,4,0,0,0,0,0,31,1,0
487,1310081,2013-10-08,1,96.867100978839,6.0,15.1125,8.0,61.0,0.0,1,281,Tuesday,10,2013,41,4,0,0,0,0,0,31,2,0
492,1310091,2013-10-09,1,149.761758936995,7.0,14.3125,10.0,21.0,0.0,2,282,Wednesday,10,2013,41,4,0,0,0,0,0,31,2,0
497,1310101,2013-10-10,1,119.300284972145,5.0,10.975,6.0,,0.0,3,283,Thursday,10,2013,41,4,0,0,0,0,0,31,2,0
502,1310111,2013-10-11,1,123.2348187168,7.0,13.8625,20.0,10.0,0.0,4,284,Friday,10,2013,41,4,0,0,0,0,0,31,2,0
507,1310121,2013-10-12,1,140.262421715801,8.0,13.025,21.0,63.0,0.0,5,285,Saturday,10,2013,41,4,1,0,0,0,0,31,2,0
512,1310131,2013-10-13,1,42.9967926268111,5.0,10.8625,5.0,,0.0,6,286,Sunday,10,2013,41,4,1,0,0,0,0,31,2,0
517,1310141,2013-10-14,1,109.863744271226,2.0,12.525,6.0,,0.0,0,287,Monday,10,2013,42,4,0,0,0,0,0,31,2,0
522,1310151,2013-10-15,1,130.431802598324,7.0,10.6625,4.0,63.0,0.0,1,288,Tuesday,10,2013,42,4,0,0,0,0,0,31,3,0
527,1310161,2013-10-16,1,146.070583461057,8.0,12.275,7.0,,0.0,2,289,Wednesday,10,2013,42,4,0,0,0,0,0,31,3,0
532,1310171,2013-10-17,1,89.9411837855476,7.0,12.0,15.0,65.0,0.0,3,290,Thursday,10,2013,42,4,0,0,0,0,0,31,3,0
537,1310181,2013-10-18,1,111.233698203856,1.0,9.075,9.0,,0.0,4,291,Friday,10,2013,42,4,0,0,0,0,0,31,3,0
542,1310191,2013-10-19,1,121.590860465012,7.0,9.45,9.0,,0.0,5,292,Saturday,10,2013,42,4,1,0,0,0,0,31,3,0
547,1310201,2013-10-20,1,70.1419855298474,7.0,15.1875,8.0,21.0,0.0,6,293,Sunday,10,2013,42,4,1,0,0,0,0,31,3,0
552,1310211,2013-10-21,1,122.987868193302,7.0,14.2625,8.0,61.0,0.0,0,294,Monday,10,2013,43,4,0,0,0,0,0,31,3,0
557,1310221,2013-10-22,1,111.927088663048,2.0,17.6375,7.0,,0.0,1,295,Tuesday,10,2013,43,4,0,0,0,0,0,31,4,0
562,1310231,2013-10-23,1,125.816016210178,6.0,17.675,9.0,,0.0,2,296,Wednesday,10,2013,43,4,0,0,0,0,0,31,4,0
567,1310241,2013-10-24,1,123.163406361057,5.0,12.6875,12.0,61.0,0.0,3,297,Thursday,10,2013,43,4,0,0,0,0,0,31,4,0
573,1310251,2013-10-25,1,113.661858634409,7.0,11.8875,7.0,61.0,0.0,4,298,Friday,10,2013,43,4,0,0,0,0,0,31,4,0
579,1310261,2013-10-26,1,161.678805315967,5.0,16.775,10.0,21.0,0.0,5,299,Saturday,10,2013,43,4,1,0,0,0,0,31,4,0
585,1310271,2013-10-27,1,102.355195816072,6.0,14.9875,16.0,65.0,0.0,6,300,Sunday,10,2013,43,4,1,0,0,0,0,31,4,0
591,1310281,2013-10-28,1,129.482192717092,7.0,14.3625,29.0,63.0,0.0,0,301,Monday,10,2013,44,4,0,0,0,0,0,31,4,0
596,1310291,2013-10-29,1,112.285893935052,7.0,10.775,17.0,63.0,0.0,1,302,Tuesday,10,2013,44,4,0,0,0,0,0,31,5,0
602,1310301,2013-10-30,1,121.506077008915,6.0,10.4375,10.0,61.0,0.0,2,303,Wednesday,10,2013,44,4,0,0,0,0,0,31,5,0
608,1310311,2013-10-31,1,133.723541287582,5.0,11.1625,13.0,21.0,0.0,3,304,Thursday,10,2013,44,4,0,0,1,0,0,31,5,0
614,1311011,2013-11-01,1,100.182160485504,8.0,10.625,9.0,63.0,0.0,4,305,Friday,11,2013,44,4,0,1,0,0,0,30,1,0
620,1311021,2013-11-02,1,149.172348030766,8.0,8.8875,3.0,63.0,0.0,5,306,Saturday,11,2013,44,4,1,0,0,0,0,30,1,0
626,1311031,2013-11-03,1,97.4532740046654,6.0,10.7,15.0,21.0,0.0,6,307,Sunday,11,2013,44,4,1,0,0,0,0,30,1,0
632,1311041,2013-11-04,1,137.864260444157,7.0,6.8375,7.0,63.0,0.0,0,308,Monday,11,2013,45,4,0,0,0,0,0,30,1,0
637,1311051,2013-11-05,1,103.700267261952,4.0,8.9,12.0,61.0,0.0,1,309,Tuesday,11,2013,45,4,0,0,0,0,0,30,1,0
643,1311061,2013-11-06,1,109.097001107423,4.0,8.1375,12.0,63.0,0.0,2,310,Wednesday,11,2013,45,4,0,0,0,0,0,30,1,0
649,1311071,2013-11-07,1,118.470603286455,6.0,9.5,10.0,61.0,0.0,3,311,Thursday,11,2013,45,4,0,0,0,0,0,30,1,0
655,1311081,2013-11-08,1,132.796244239256,3.0,9.325,9.0,,0.0,4,312,Friday,11,2013,45,4,0,0,0,0,0,30,2,0
661,1311091,2013-11-09,1,99.9317959514759,5.0,7.7,16.0,63.0,0.0,5,313,Saturday,11,2013,45,4,1,0,0,0,0,30,2,0
667,1311101,2013-11-10,1,108.561660295105,2.0,6.9875,12.0,63.0,0.0,6,314,Sunday,11,2013,45,4,1,0,0,0,0,30,2,0
673,1311111,2013-11-11,1,124.580485617569,2.0,8.3125,5.0,,0.0,0,315,Monday,11,2013,46,4,0,0,0,0,0,30,2,0
679,1311121,2013-11-12,1,111.970870543294,7.0,5.9375,9.0,61.0,0.0,1,316,Tuesday,11,2013,46,4,0,0,0,0,0,30,2,0
685,1311131,2013-11-13,1,78.0382483442215,1.0,8.8,12.0,0.0,0.0,2,317,Wednesday,11,2013,46,4,0,0,0,0,0,30,2,0
691,1311141,2013-11-14,1,121.180219705286,5.0,6.9375,9.0,21.0,0.0,3,318,Thursday,11,2013,46,4,0,0,0,0,0,30,2,0
697,1311151,2013-11-15,1,122.76929773359,7.0,6.45,6.0,21.0,0.0,4,319,Friday,11,2013,46,4,0,0,0,0,0,30,3,0
703,1311161,2013-11-16,1,126.793397398979,8.0,8.875,12.0,,0.0,5,320,Saturday,11,2013,46,4,1,0,0,0,0,30,3,0
709,1311171,2013-11-17,1,74.3945185864517,2.0,8.8875,8.0,0.0,0.0,6,321,Sunday,11,2013,46,4,1,0,0,0,0,30,3,0
715,1311181,2013-11-18,1,129.109032642028,7.0,6.65,5.0,63.0,0.0,0,322,Monday,11,2013,47,4,0,0,0,0,0,30,3,0
721,1311191,2013-11-19,1,106.906118646237,8.0,5.8375,8.0,61.0,0.0,1,323,Tuesday,11,2013,47,4,0,0,0,0,0,30,3,0
727,1311201,2013-11-20,1,124.324612351715,6.0,3.85,6.0,,0.0,2,324,Wednesday,11,2013,47,4,0,0,0,0,0,30,3,0
733,1311211,2013-11-21,1,144.359927455555,2.0,3.275,8.0,10.0,0.0,3,325,Thursday,11,2013,47,4,0,0,0,0,0,30,3,0
739,1311221,2013-11-22,1,107.962731413831,7.0,5.375,10.0,21.0,0.0,4,326,Friday,11,2013,47,4,0,0,0,0,0,30,4,0
745,1311231,2013-11-23,1,96.5196766761341,3.0,4.9125,6.0,,0.0,5,327,Saturday,11,2013,47,4,1,0,0,0,0,30,4,0
751,1311241,2013-11-24,1,76.4120061231823,0.0,4.6,16.0,,0.0,6,328,Sunday,11,2013,47,4,1,0,0,0,0,30,4,0
757,1311251,2013-11-25,1,129.81992805086,0.0,3.7,10.0,,0.0,0,329,Monday,11,2013,48,4,0,0,0,0,0,30,4,0
763,1311261,2013-11-26,1,123.431703158233,2.0,2.3125,6.0,,0.0,1,330,Tuesday,11,2013,48,4,0,0,0,0,0,30,4,0
769,1311271,2013-11-27,1,93.5321454303922,8.0,7.3125,12.0,61.0,0.0,2,331,Wednesday,11,2013,48,4,0,0,0,0,0,30,4,0
775,1311281,2013-11-28,1,128.842426194061,2.0,8.025,18.0,,0.0,3,332,Thursday,11,2013,48,4,0,0,0,0,0,30,4,0
781,1311291,2013-11-29,1,104.966463375073,8.0,5.9875,11.0,63.0,0.0,4,333,Friday,11,2013,48,4,0,0,0,0,0,30,5,0
787,1311301,2013-11-30,1,104.09003869481,7.0,5.525,10.0,20.0,0.0,5,334,Saturday,11,2013,48,4,1,0,1,0,0,30,5,0
792,1312011,2013-12-01,1,68.0762231823542,5.0,8.6625,20.0,61.0,0.0,6,335,Sunday,12,2013,48,4,1,1,0,0,0,31,1,0
798,1312021,2013-12-02,1,113.931498716313,0.0,3.0625,4.0,10.0,0.0,0,336,Monday,12,2013,49,4,0,0,0,0,0,31,1,0
804,1312031,2013-12-03,1,94.7658652080226,8.0,1.7125,6.0,28.0,0.0,1,337,Tuesday,12,2013,49,4,0,0,0,0,0,31,1,0
810,1312041,2013-12-04,1,128.922855106228,7.0,5.85,11.0,63.0,0.0,2,338,Wednesday,12,2013,49,4,0,0,0,0,0,31,1,0
816,1312051,2013-12-05,1,120.974699669869,7.0,4.4625,24.0,63.0,0.0,3,339,Thursday,12,2013,49,4,0,0,0,0,0,31,1,0
822,1312061,2013-12-06,1,112.015650593347,6.0,1.7875,25.0,73.0,0.0,4,340,Friday,12,2013,49,4,0,0,0,0,0,31,1,0
828,1312071,2013-12-07,1,121.408564819885,5.0,1.0,11.0,22.0,0.0,5,341,Saturday,12,2013,49,4,1,0,0,0,0,31,1,0
834,1312081,2013-12-08,1,36.2650169585334,8.0,6.975,16.0,63.0,0.0,6,342,Sunday,12,2013,49,4,1,0,0,0,0,31,2,0
840,1312091,2013-12-09,1,134.680550018524,7.0,9.2375,10.0,45.0,0.0,0,343,Monday,12,2013,50,4,0,0,0,0,0,31,2,0
846,1312101,2013-12-10,1,104.352034970751,7.0,7.1875,8.0,61.0,0.0,1,344,Tuesday,12,2013,50,4,0,0,0,0,0,31,2,0
852,1312111,2013-12-11,1,85.9079819233536,7.0,5.025,9.0,10.0,0.0,2,345,Wednesday,12,2013,50,4,0,0,0,0,0,31,2,0
858,1312121,2013-12-12,1,88.2075449690532,8.0,2.525,8.0,28.0,0.0,3,346,Thursday,12,2013,50,4,0,0,0,0,0,31,2,0
864,1312131,2013-12-13,1,85.5324935340658,7.0,3.5375,6.0,61.0,0.0,4,347,Friday,12,2013,50,4,0,0,0,0,0,31,2,0
869,1312141,2013-12-14,1,120.787742012371,7.0,3.0125,7.0,61.0,0.0,5,348,Saturday,12,2013,50,4,1,0,0,0,0,31,2,0
874,1312151,2013-12-15,1,71.5352172710921,8.0,7.925,12.0,61.0,0.0,6,349,Sunday,12,2013,50,4,1,0,0,0,0,31,3,0
880,1312161,2013-12-16,1,120.791211521354,8.0,8.775,12.0,,0.0,0,350,Monday,12,2013,51,4,0,0,0,0,0,31,3,0
886,1312171,2013-12-17,1,74.6283250889016,8.0,4.95,8.0,61.0,0.0,1,351,Tuesday,12,2013,51,4,0,0,0,0,0,31,3,0
892,1312181,2013-12-18,1,86.4115250991858,7.0,6.85,8.0,10.0,0.0,2,352,Wednesday,12,2013,51,4,0,0,0,0,0,31,3,0
898,1312191,2013-12-19,1,101.589644453608,7.0,7.4,10.0,63.0,0.0,3,353,Thursday,12,2013,51,4,0,0,0,0,0,31,3,0
904,1312201,2013-12-20,1,114.601001275823,7.0,5.2875,10.0,61.0,0.0,4,354,Friday,12,2013,51,4,0,0,0,0,0,31,3,0
910,1312211,2013-12-21,1,124.541759682586,8.0,6.5625,13.0,63.0,0.0,5,355,Saturday,12,2013,51,4,1,0,0,0,0,31,3,0
916,1312221,2013-12-22,1,41.7300439888931,7.0,8.1375,12.0,61.0,0.0,6,356,Sunday,12,2013,51,4,1,0,0,0,0,31,4,0
922,1312231,2013-12-23,1,183.608991270752,3.0,5.4875,10.0,,0.0,0,357,Monday,12,2013,52,4,0,0,0,0,0,31,4,0
928,1312241,2013-12-24,1,220.330670230618,7.0,11.4375,18.0,61.0,0.0,1,358,Tuesday,12,2013,52,4,0,0,0,0,0,31,4,0
933,1312271,2013-12-27,1,152.367434643543,7.0,5.7625,15.0,63.0,0.0,4,361,Friday,12,2013,52,4,0,0,0,0,0,31,4,0
938,1312291,2013-12-29,1,131.267289010755,7.0,5.7125,9.0,63.0,0.0,6,363,Sunday,12,2013,52,4,1,0,0,0,0,31,5,0
944,1312301,2013-12-30,1,126.58984459848,4.0,4.75,11.0,10.0,0.0,0,364,Monday,12,2013,1,4,0,0,0,0,0,31,5,0
949,1312311,2013-12-31,1,211.390838466052,4.0,5.0375,7.0,,0.0,1,365,Tuesday,12,2013,1,4,0,0,1,0,1,31,5,0
