,Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Umsatz,KielerWoche,weekday,dayofyear,day_of_week,Product_type,Year,Date,Warengruppe_1.0,Warengruppe_2.0,Warengruppe_3.0,Warengruppe_4.0,Warengruppe_5.0,Warengruppe_6.0,day_of_week_enc_1.0,day_of_week_enc_2.0,day_of_week_enc_3.0,day_of_week_enc_4.0,day_of_week_enc_5.0,day_of_week_enc_6.0,day_of_week_enc_7.0,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Produktgruppe_enc
128,2013-07-27,1.0,26.1625,10.0,,1307271.0,161.403357795112,0.0,5.0,208.0,Saturday,Bread,2013.0,2013-07-27,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
132,2013-07-28,4.0,24.8875,13.0,61.0,1307281.0,86.0791432446654,0.0,6.0,209.0,Sunday,Bread,2013.0,2013-07-28,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0
136,2013-07-29,1.0,22.7875,10.0,,1307291.0,183.564164400591,0.0,0.0,210.0,Monday,Bread,2013.0,2013-07-29,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
140,2013-07-30,5.0,21.075,13.0,21.0,1307301.0,132.111640117897,0.0,1.0,211.0,Tuesday,Bread,2013.0,2013-07-30,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
144,2013-07-31,5.0,20.275,16.0,65.0,1307311.0,144.745431773143,0.0,2.0,212.0,Wednesday,Bread,2013.0,2013-07-31,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
148,2013-08-01,6.0,23.4,7.0,21.0,1308011.0,157.854023011106,0.0,3.0,213.0,Thursday,Bread,2013.0,2013-08-01,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
153,2013-08-02,0.0,31.4375,7.0,,1308021.0,117.359342094889,0.0,4.0,214.0,Friday,Bread,2013.0,2013-08-02,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
158,2013-08-03,4.0,23.3625,11.0,63.0,1308031.0,186.027178770079,0.0,5.0,215.0,Saturday,Bread,2013.0,2013-08-03,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
163,2013-08-04,3.0,23.05,8.0,,1308041.0,104.708216687715,0.0,6.0,216.0,Sunday,Bread,2013.0,2013-08-04,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
168,2013-08-05,0.0,25.8,10.0,,1308051.0,146.775309890073,0.0,0.0,217.0,Monday,Bread,2013.0,2013-08-05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
172,2013-08-06,5.0,22.225,13.0,,1308061.0,131.956277381283,0.0,1.0,218.0,Tuesday,Bread,2013.0,2013-08-06,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
177,2013-08-07,4.0,19.2125,8.0,,1308071.0,160.593417296116,0.0,2.0,219.0,Wednesday,Bread,2013.0,2013-08-07,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
182,2013-08-08,7.0,16.975,12.0,20.0,1308081.0,153.099424561652,0.0,3.0,220.0,Thursday,Bread,2013.0,2013-08-08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
187,2013-08-09,4.0,20.3375,10.0,21.0,1308091.0,125.620344387906,0.0,4.0,221.0,Friday,Bread,2013.0,2013-08-09,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
192,2013-08-10,7.0,19.3625,12.0,61.0,1308101.0,185.177162656408,0.0,5.0,222.0,Saturday,Bread,2013.0,2013-08-10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
197,2013-08-11,7.0,16.3875,9.0,61.0,1308111.0,73.2088330039992,0.0,6.0,223.0,Sunday,Bread,2013.0,2013-08-11,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
202,2013-08-12,7.0,16.45,11.0,63.0,1308121.0,154.504729536697,0.0,0.0,224.0,Monday,Bread,2013.0,2013-08-12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
207,2013-08-13,3.0,16.4,16.0,95.0,1308131.0,134.064451548102,0.0,1.0,225.0,Tuesday,Bread,2013.0,2013-08-13,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
212,2013-08-14,4.0,18.2625,18.0,61.0,1308141.0,156.972510536869,0.0,2.0,226.0,Wednesday,Bread,2013.0,2013-08-14,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
217,2013-08-15,3.0,19.8,8.0,,1308151.0,164.763795399756,0.0,3.0,227.0,Thursday,Bread,2013.0,2013-08-15,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
222,2013-08-16,4.0,23.575,11.0,0.0,1308161.0,147.79799759804,0.0,4.0,228.0,Friday,Bread,2013.0,2013-08-16,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
227,2013-08-17,6.0,20.55,7.0,0.0,1308171.0,221.630418006017,0.0,5.0,229.0,Saturday,Bread,2013.0,2013-08-17,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
232,2013-08-18,7.0,18.5875,10.0,63.0,1308181.0,92.489778506026,0.0,6.0,230.0,Sunday,Bread,2013.0,2013-08-18,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
237,2013-08-19,5.0,18.4875,8.0,,1308191.0,145.87913275728,0.0,0.0,231.0,Monday,Bread,2013.0,2013-08-19,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
242,2013-08-20,7.0,17.775,8.0,61.0,1308201.0,111.842396126739,0.0,1.0,232.0,Tuesday,Bread,2013.0,2013-08-20,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
247,2013-08-21,5.0,20.125,8.0,,1308211.0,125.336522713024,0.0,2.0,233.0,Wednesday,Bread,2013.0,2013-08-21,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
252,2013-08-22,4.0,21.6625,8.0,,1308221.0,132.916428220302,0.0,3.0,234.0,Thursday,Bread,2013.0,2013-08-22,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
257,2013-08-23,1.0,22.0375,14.0,,1308231.0,162.958958703106,0.0,4.0,235.0,Friday,Bread,2013.0,2013-08-23,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
262,2013-08-24,0.0,20.85,16.0,5.0,1308241.0,201.543109556297,0.0,5.0,236.0,Saturday,Bread,2013.0,2013-08-24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
267,2013-08-25,0.0,21.3875,16.0,5.0,1308251.0,83.0226725739551,0.0,6.0,237.0,Sunday,Bread,2013.0,2013-08-25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1.0
272,2013-08-26,0.0,20.125,15.0,5.0,1308261.0,165.829031676714,0.0,0.0,238.0,Monday,Bread,2013.0,2013-08-26,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
277,2013-08-27,1.0,21.0875,12.0,,1308271.0,118.473650434102,0.0,1.0,239.0,Tuesday,Bread,2013.0,2013-08-27,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
282,2013-08-28,0.0,21.3,7.0,,1308281.0,108.876991442649,0.0,2.0,240.0,Wednesday,Bread,2013.0,2013-08-28,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
287,2013-08-29,3.0,20.2125,11.0,,1308291.0,178.178023803315,0.0,3.0,241.0,Thursday,Bread,2013.0,2013-08-29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
292,2013-08-30,6.0,19.7875,8.0,5.0,1308301.0,133.150828452892,0.0,4.0,242.0,Friday,Bread,2013.0,2013-08-30,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
297,2013-08-31,5.0,18.35,16.0,21.0,1308311.0,130.821314898435,0.0,5.0,243.0,Saturday,Bread,2013.0,2013-08-31,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
302,2013-09-01,7.0,15.8625,16.0,61.0,1309011.0,95.9704314892471,0.0,6.0,244.0,Sunday,Bread,2013.0,2013-09-01,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
307,2013-09-02,7.0,16.575,17.0,63.0,1309021.0,138.408723210465,0.0,0.0,245.0,Monday,Bread,2013.0,2013-09-02,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
312,2013-09-03,7.0,18.225,11.0,21.0,1309031.0,138.825618927843,0.0,1.0,246.0,Tuesday,Bread,2013.0,2013-09-03,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
317,2013-09-04,7.0,18.125,5.0,,1309041.0,100.221969526295,0.0,2.0,247.0,Wednesday,Bread,2013.0,2013-09-04,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
322,2013-09-05,0.0,21.7,8.0,,1309051.0,173.658100347255,0.0,3.0,248.0,Thursday,Bread,2013.0,2013-09-05,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
327,2013-09-06,0.0,24.7,9.0,,1309061.0,171.415179710314,0.0,4.0,249.0,Friday,Bread,2013.0,2013-09-06,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
332,2013-09-07,6.0,22.7625,7.0,,1309071.0,186.034060963767,0.0,5.0,250.0,Saturday,Bread,2013.0,2013-09-07,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
337,2013-09-08,7.0,20.1625,8.0,61.0,1309081.0,88.8925958109828,0.0,6.0,251.0,Sunday,Bread,2013.0,2013-09-08,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
342,2013-09-09,8.0,11.575,11.0,63.0,1309091.0,169.359968504942,0.0,0.0,252.0,Monday,Bread,2013.0,2013-09-09,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
347,2013-09-10,6.0,13.5875,11.0,65.0,1309101.0,89.6944536084346,0.0,1.0,253.0,Tuesday,Bread,2013.0,2013-09-10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
352,2013-09-11,6.0,13.9,8.0,61.0,1309111.0,103.363686559795,0.0,2.0,254.0,Wednesday,Bread,2013.0,2013-09-11,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
357,2013-09-12,6.0,16.1125,6.0,61.0,1309121.0,106.474399987548,0.0,3.0,255.0,Thursday,Bread,2013.0,2013-09-12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
362,2013-09-13,6.0,17.4375,5.0,21.0,1309131.0,122.564626199915,0.0,4.0,256.0,Friday,Bread,2013.0,2013-09-13,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
367,2013-09-14,5.0,17.625,10.0,63.0,1309141.0,174.938807466572,0.0,5.0,257.0,Saturday,Bread,2013.0,2013-09-14,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
372,2013-09-15,7.0,14.8625,10.0,21.0,1309151.0,55.1960062296304,0.0,6.0,258.0,Sunday,Bread,2013.0,2013-09-15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
377,2013-09-16,3.0,13.1375,13.0,21.0,1309161.0,146.760234890658,0.0,0.0,259.0,Monday,Bread,2013.0,2013-09-16,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
382,2013-09-17,5.0,13.1375,10.0,63.0,1309171.0,136.118044538363,0.0,1.0,260.0,Tuesday,Bread,2013.0,2013-09-17,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
387,2013-09-18,4.0,13.05,9.0,,1309181.0,152.255085210606,0.0,2.0,261.0,Wednesday,Bread,2013.0,2013-09-18,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
392,2013-09-19,5.0,14.8375,11.0,63.0,1309191.0,148.674992078993,0.0,3.0,262.0,Thursday,Bread,2013.0,2013-09-19,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
397,2013-09-20,7.0,13.525,6.0,,1309201.0,110.159250328825,0.0,4.0,263.0,Friday,Bread,2013.0,2013-09-20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
402,2013-09-21,7.0,15.35,9.0,,1309211.0,178.263887943827,0.0,5.0,264.0,Saturday,Bread,2013.0,2013-09-21,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
407,2013-09-22,6.0,17.1375,14.0,21.0,1309221.0,86.6668973821597,0.0,6.0,265.0,Sunday,Bread,2013.0,2013-09-22,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
412,2013-09-23,7.0,17.3125,14.0,21.0,1309231.0,111.128410563554,0.0,0.0,266.0,Monday,Bread,2013.0,2013-09-23,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
417,2013-09-24,8.0,15.7375,10.0,,1309241.0,139.64144576808,0.0,1.0,267.0,Tuesday,Bread,2013.0,2013-09-24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
422,2013-09-25,6.0,13.5375,7.0,61.0,1309251.0,117.94119333604,0.0,2.0,268.0,Wednesday,Bread,2013.0,2013-09-25,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
427,2013-09-26,1.0,12.9875,12.0,,1309261.0,203.314345156607,0.0,3.0,269.0,Thursday,Bread,2013.0,2013-09-26,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
432,2013-09-27,5.0,13.0125,8.0,21.0,1309271.0,135.507291692088,0.0,4.0,270.0,Friday,Bread,2013.0,2013-09-27,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
437,2013-09-28,0.0,13.1,8.0,,1309281.0,134.613756840197,0.0,5.0,271.0,Saturday,Bread,2013.0,2013-09-28,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
442,2013-09-29,3.0,14.175,12.0,,1309291.0,68.6316896995448,0.0,6.0,272.0,Sunday,Bread,2013.0,2013-09-29,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
447,2013-09-30,1.0,12.825,14.0,,1309301.0,156.502435955326,0.0,0.0,273.0,Monday,Bread,2013.0,2013-09-30,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
452,2013-10-01,0.0,12.9125,13.0,5.0,1310011.0,123.397540137977,0.0,1.0,274.0,Tuesday,Bread,2013.0,2013-10-01,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
457,2013-10-02,1.0,12.7,10.0,,1310021.0,196.720969158391,0.0,2.0,275.0,Wednesday,Bread,2013.0,2013-10-02,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
462,2013-10-03,0.0,11.7625,12.0,5.0,1310031.0,75.2337302417469,0.0,3.0,276.0,Thursday,Bread,2013.0,2013-10-03,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
467,2013-10-04,5.0,11.2,8.0,63.0,1310041.0,156.066122625816,0.0,4.0,277.0,Friday,Bread,2013.0,2013-10-04,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
472,2013-10-05,7.0,15.575,8.0,20.0,1310051.0,152.280762053885,0.0,5.0,278.0,Saturday,Bread,2013.0,2013-10-05,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
477,2013-10-06,7.0,15.25,6.0,,1310061.0,92.4805772695364,0.0,6.0,279.0,Sunday,Bread,2013.0,2013-10-06,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
482,2013-10-07,1.0,16.275,7.0,,1310071.0,124.841544023845,0.0,0.0,280.0,Monday,Bread,2013.0,2013-10-07,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
487,2013-10-08,6.0,15.1125,8.0,61.0,1310081.0,96.867100978839,0.0,1.0,281.0,Tuesday,Bread,2013.0,2013-10-08,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
492,2013-10-09,7.0,14.3125,10.0,21.0,1310091.0,149.761758936995,0.0,2.0,282.0,Wednesday,Bread,2013.0,2013-10-09,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
497,2013-10-10,5.0,10.975,6.0,,1310101.0,119.300284972145,0.0,3.0,283.0,Thursday,Bread,2013.0,2013-10-10,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
502,2013-10-11,7.0,13.8625,20.0,10.0,1310111.0,123.2348187168,0.0,4.0,284.0,Friday,Bread,2013.0,2013-10-11,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
507,2013-10-12,8.0,13.025,21.0,63.0,1310121.0,140.262421715801,0.0,5.0,285.0,Saturday,Bread,2013.0,2013-10-12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
512,2013-10-13,5.0,10.8625,5.0,,1310131.0,42.9967926268111,0.0,6.0,286.0,Sunday,Bread,2013.0,2013-10-13,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
517,2013-10-14,2.0,12.525,6.0,,1310141.0,109.863744271226,0.0,0.0,287.0,Monday,Bread,2013.0,2013-10-14,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
522,2013-10-15,7.0,10.6625,4.0,63.0,1310151.0,130.431802598324,0.0,1.0,288.0,Tuesday,Bread,2013.0,2013-10-15,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
