Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Produktgruppe,Wochentag,Monat,Jahr,Umsatz_lag_1,Umsatz_lag_7,Umsatz_lag_14,Umsatz_rolling_mean_3,Umsatz_rolling_std_3,Umsatz_rolling_mean_7,Umsatz_rolling_std_7,Ist_Wochenende,Jahreszeit,Regenstaerke,Ist_Feiertag_SH,Ist_Feiertag_Bundesweit,Ist_Schulferien_SH,Veranstaltung_Holstenkoeste,Veranstaltung_Kieler_Umschlag,Veranstaltung_Kieler_Weihnachtsmaerkte,Veranstaltung_Kieler_Woche,Veranstaltung_NOK_Romantika,Veranstaltung_NordArt,Veranstaltung_Seebrueckenfest,Veranstaltung_Sprottentage
2013-07-03,111.8856,7.0,21.075,6.0,61.0,,Brot,Mittwoch,7,2013,383.6287,65.89017,,190.01941,168.7069,265.62427,166.8383,False,Sommer,Leicht,True,True,True,False,False,False,False,False,False,False,False
2013-07-03,427.34326,7.0,21.075,6.0,61.0,,Brötchen,Mittwoch,7,2013,111.8856,317.47586,,307.61917,170.91364,281.3196,177.36505,False,Sommer,Leicht,True,True,True,False,False,False,False,False,False,False,False
2013-07-03,210.26024,7.0,21.075,6.0,61.0,,Croissant,Mittwoch,7,2013,427.34326,159.79376,,249.8297,161.40846,288.5291,172.56265,False,Sommer,Leicht,True,True,True,False,False,False,False,False,False,False,False
2013-07-03,69.262726,7.0,21.075,6.0,61.0,,Konditorei,Mittwoch,7,2013,210.26024,546.78076,,235.62207,180.38246,220.31224,145.76022,False,Sommer,Leicht,True,True,True,False,False,False,False,False,False,False,False
2013-07-03,305.52307,7.0,21.075,6.0,61.0,,Kuchen,Mittwoch,7,2013,69.262726,265.26126,148.82835,195.01535,118.86565,226.06393,148.5963,False,Sommer,Leicht,True,True,True,False,False,False,False,False,False,False,False
2013-07-04,168.86494,7.0,18.85,7.0,20.0,,Brot,Donnerstag,7,2013,305.52307,74.543915,535.85626,181.21692,118.61352,239.53836,136.3376,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-04,454.85965,7.0,18.85,7.0,20.0,,Brötchen,Donnerstag,7,2013,168.86494,383.6287,201.19843,309.7492,143.04419,249.71422,150.778,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-04,190.68665,7.0,18.85,7.0,20.0,,Croissant,Donnerstag,7,2013,454.85965,111.8856,65.89017,271.4704,159.19408,260.9715,141.424,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-04,61.490177,7.0,18.85,7.0,20.0,,Konditorei,Donnerstag,7,2013,190.68665,427.34326,317.47586,235.67882,200.50713,208.70677,137.23247,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-04,308.40817,7.0,18.85,7.0,20.0,,Kuchen,Donnerstag,7,2013,61.490177,210.26024,159.79376,186.86166,123.503426,222.7279,142.33664,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-05,171.28076,5.0,19.975,12.0,,,Brot,Freitag,7,2013,308.40817,69.262726,546.78076,180.39304,123.71095,237.30191,128.56047,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-05,492.81882,5.0,19.975,12.0,,,Brötchen,Freitag,7,2013,171.28076,305.52307,265.26126,324.16925,161.34741,264.05844,160.61867,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-05,181.64487,5.0,19.975,12.0,,,Croissant,Freitag,7,2013,492.81882,168.86494,74.543915,281.91483,182.72173,265.88416,159.42448,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-05,86.759865,5.0,19.975,12.0,,,Konditorei,Freitag,7,2013,181.64487,454.85965,383.6287,253.74118,212.41322,213.29848,146.92061,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-05,355.51877,5.0,19.975,12.0,,,Kuchen,Freitag,7,2013,86.759865,190.68665,111.8856,207.9745,136.30031,236.84592,155.64272,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-06,174.55235,0.0,18.9625,8.0,,,Brot,Samstag,7,2013,355.51877,61.490177,427.34326,205.61032,137.04483,252.99765,139.43495,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-06,631.90607,0.0,18.9625,8.0,,,Brötchen,Samstag,7,2013,174.55235,308.40817,210.26024,387.32574,230.32991,299.21164,200.91614,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-06,291.55795,0.0,18.9625,8.0,,,Croissant,Samstag,7,2013,631.90607,171.28076,69.262726,366.00546,237.59193,316.3941,193.14476,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-06,80.646576,0.0,18.9625,8.0,,,Konditorei,Samstag,7,2013,291.55795,492.81882,305.52307,334.70352,278.15088,257.51236,193.22318,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-06,361.86694,0.0,18.9625,8.0,,,Kuchen,Samstag,7,2013,80.646576,181.64487,168.86494,244.69049,146.35109,283.25836,193.43611,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-07,92.63776,0.0,21.375,9.0,,,Brot,Sonntag,7,2013,361.86694,86.759865,454.85965,178.38376,159.01418,284.09805,192.4512,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-07,695.25574,0.0,21.375,9.0,,,Brötchen,Sonntag,7,2013,92.63776,355.51877,190.68665,383.25348,301.8777,332.6319,248.22227,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-07,279.66592,0.0,21.375,9.0,,,Croissant,Sonntag,7,2013,695.25574,174.55235,61.490177,355.85315,308.4485,347.64813,240.11234,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-07,94.603905,0.0,21.375,9.0,,,Konditorei,Sonntag,7,2013,279.66592,631.90607,308.40817,356.5085,307.61053,270.8907,219.05496,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-07,370.2096,0.0,21.375,9.0,,,Kuchen,Sonntag,7,2013,94.603905,291.55795,171.28076,248.1598,140.47812,282.12665,222.28505,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-08,135.50024,0.0,22.725,10.0,5.0,,Brot,Montag,7,2013,370.2096,80.646576,492.81882,200.10458,148.72765,289.96286,214.84068,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-08,538.52924,0.0,22.725,10.0,5.0,,Brötchen,Montag,7,2013,135.50024,361.86694,181.64487,348.07968,202.4238,315.20035,234.19922,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-08,195.1588,0.0,22.725,10.0,5.0,,Croissant,Montag,7,2013,538.52924,92.63776,86.759865,289.72943,217.52194,329.8462,220.7827,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-08,49.500023,0.0,22.725,10.0,5.0,,Konditorei,Montag,7,2013,195.1588,695.25574,355.51877,261.06268,251.0874,237.59538,172.22482,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-08,285.23337,0.0,22.725,10.0,5.0,,Kuchen,Montag,7,2013,49.500023,279.66592,174.55235,176.63074,118.95386,238.39073,172.46419,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-09,136.04839,0.0,23.275,8.0,,,Brot,Dienstag,7,2013,285.23337,94.603905,631.90607,156.92726,119.24554,244.31137,167.34062,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-09,585.9573,0.0,23.275,8.0,,,Brötchen,Dienstag,7,2013,136.04839,370.2096,291.55795,335.74634,229.16844,275.13248,209.06111,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-09,245.80833,0.0,23.275,8.0,,,Croissant,Dienstag,7,2013,585.9573,135.50024,80.646576,322.60468,234.57997,290.89078,200.77505,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-09,75.209,0.0,23.275,8.0,,,Konditorei,Dienstag,7,2013,245.80833,538.52924,361.86694,302.32486,260.0222,224.70216,180.91943,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-09,342.08936,0.0,23.275,8.0,,,Kuchen,Dienstag,7,2013,75.209,195.1588,92.63776,221.03557,135.1538,245.69225,185.38873,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-10,135.13231,2.0,19.6875,13.0,5.0,,Brot,Mittwoch,7,2013,342.08936,49.500023,695.25574,184.14355,140.02806,257.92545,172.67429,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-10,567.3658,2.0,19.6875,13.0,5.0,,Brötchen,Mittwoch,7,2013,135.13231,285.23337,279.66592,348.1958,216.18143,298.23007,209.17888,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-10,265.10913,2.0,19.6875,13.0,5.0,,Croissant,Mittwoch,7,2013,567.3658,136.04839,94.603905,322.53574,221.7652,316.6673,197.8844,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-10,73.80565,2.0,19.6875,13.0,5.0,,Konditorei,Mittwoch,7,2013,265.10913,585.9573,370.2096,302.0935,248.84993,243.50279,175.09178,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-10,343.35306,2.0,19.6875,13.0,5.0,,Kuchen,Mittwoch,7,2013,73.80565,245.80833,135.50024,227.4226,138.66924,257.43774,179.14066,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-11,138.5494,0.0,21.375,12.0,5.0,,Brot,Donnerstag,7,2013,343.35306,75.209,538.52924,185.23604,140.7078,266.4864,169.75583,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-11,569.1094,0.0,21.375,12.0,5.0,,Brötchen,Donnerstag,7,2013,138.5494,342.08936,195.1588,350.33728,215.36494,298.91782,204.69673,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-11,234.65808,0.0,21.375,12.0,5.0,,Croissant,Donnerstag,7,2013,569.1094,135.13231,49.500023,314.10562,226.00754,313.13577,194.63345,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-11,68.633026,0.0,21.375,12.0,5.0,,Konditorei,Donnerstag,7,2013,234.65808,567.3658,285.23337,290.80017,254.91782,241.88824,176.49754,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-11,315.91174,0.0,21.375,12.0,5.0,,Kuchen,Donnerstag,7,2013,68.633026,265.10913,136.04839,206.40096,126.03785,249.14577,178.64297,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-12,101.44751,0.0,20.2875,7.0,,,Brot,Freitag,7,2013,315.91174,73.80565,585.9573,161.99742,134.2997,253.0946,174.37572,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-12,600.26794,0.0,20.2875,7.0,,,Brötchen,Freitag,7,2013,101.44751,343.35306,245.80833,339.20908,250.22496,289.79672,218.09584,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-12,290.1991,0.0,20.2875,7.0,,,Croissant,Freitag,7,2013,600.26794,138.5494,75.209,330.63818,251.857,311.46097,207.85965,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-12,362.8025,0.0,20.2875,7.0,,,Kuchen,Freitag,7,2013,290.1991,569.1094,342.08936,417.7565,162.1747,281.98856,177.67323,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-13,141.2333,1.0,20.125,12.0,,,Brot,Samstag,7,2013,362.8025,234.65808,135.13231,264.74496,112.95645,268.64215,185.17184,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-13,747.14075,1.0,20.125,12.0,,,Brötchen,Samstag,7,2013,141.2333,68.633026,567.3658,417.05884,306.57587,365.57184,234.1372,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-13,340.04663,1.0,20.125,12.0,,,Croissant,Samstag,7,2013,747.14075,315.91174,265.10913,409.47357,308.8625,369.01968,233.46077,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-13,74.274475,1.0,20.125,12.0,,,Konditorei,Samstag,7,2013,340.04663,101.44751,73.80565,387.15396,338.89758,365.13782,238.81581,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-13,359.1662,1.0,20.125,12.0,,,Kuchen,Samstag,7,2013,74.274475,600.26794,343.35306,257.8291,159.25017,330.6947,215.50064,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-14,112.52437,5.0,17.6875,15.0,5.0,,Brot,Sonntag,7,2013,359.1662,290.1991,138.5494,181.98834,154.6278,305.3126,230.97324,True,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-14,777.0488,5.0,17.6875,15.0,5.0,,Brötchen,Sonntag,7,2013,112.52437,362.8025,569.1094,416.24646,335.91934,364.49066,292.9185,True,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-14,320.62683,5.0,17.6875,15.0,5.0,,Croissant,Sonntag,7,2013,777.0488,141.2333,234.65808,403.40002,339.90695,390.1183,277.5759,True,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-14,115.271614,5.0,17.6875,15.0,5.0,,Konditorei,Sonntag,7,2013,320.62683,747.14075,68.633026,404.31577,338.73315,299.8513,242.66884,True,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-14,461.08212,5.0,17.6875,15.0,5.0,,Kuchen,Sonntag,7,2013,115.271614,340.04663,315.91174,298.99353,173.9173,317.14206,250.20522,True,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-15,161.26468,6.0,18.7375,12.0,,,Brot,Montag,7,2013,461.08212,74.274475,101.44751,245.8728,187.79012,329.56924,237.99437,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-15,596.9951,6.0,18.7375,12.0,,,Brötchen,Montag,7,2013,161.26468,359.1662,600.26794,406.4473,222.94388,363.5448,258.97498,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-15,243.5264,6.0,18.7375,12.0,,,Croissant,Montag,7,2013,596.9951,112.52437,290.1991,333.92874,231.50526,382.25937,241.98819,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-15,99.49353,6.0,18.7375,12.0,,,Konditorei,Montag,7,2013,243.5264,777.0488,362.8025,313.33835,255.99266,285.46576,187.02249,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-15,380.6837,6.0,18.7375,12.0,,,Kuchen,Montag,7,2013,99.49353,320.62683,141.2333,241.23454,140.60909,294.04532,190.25394,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-16,116.82136,1.0,21.1875,10.0,,,Brot,Dienstag,7,2013,380.6837,115.271614,747.14075,198.99953,157.58145,294.2667,190.01198,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-16,558.7971,1.0,21.1875,10.0,,,Brötchen,Dienstag,7,2013,116.82136,461.08212,340.04663,352.1007,222.36992,308.22598,207.12808,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-16,287.41547,1.0,21.1875,10.0,,,Croissant,Dienstag,7,2013,558.7971,161.26468,74.274475,321.01132,222.89494,326.24753,197.47333,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-16,91.7797,1.0,21.1875,10.0,,,Konditorei,Dienstag,7,2013,287.41547,596.9951,359.1662,312.6641,234.53024,254.0739,172.81105,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-16,320.43533,1.0,21.1875,10.0,,,Kuchen,Dienstag,7,2013,91.7797,243.5264,112.52437,233.21017,123.59009,265.06088,174.46564,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-17,150.57292,5.0,22.5125,8.0,,,Brot,Mittwoch,7,2013,320.43533,99.49353,777.0488,187.59598,118.7387,272.35794,167.30798,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-17,628.32574,5.0,22.5125,8.0,,,Brötchen,Mittwoch,7,2013,150.57292,380.6837,320.62683,366.44467,242.17676,307.73538,213.76366,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-17,301.77744,5.0,22.5125,8.0,,,Croissant,Mittwoch,7,2013,628.32574,116.82136,115.271614,360.22537,244.18039,334.15768,197.00668,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-17,396.99423,5.0,22.5125,8.0,,,Kuchen,Mittwoch,7,2013,301.77744,558.7971,461.08212,442.3658,167.93565,311.04297,174.45885,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-18,101.90072,1.0,23.25,11.0,5.0,,Brot,Donnerstag,7,2013,396.99423,287.41547,161.26468,266.8908,150.60828,284.54086,191.86845,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-18,647.82227,1.0,23.25,11.0,5.0,,Brötchen,Donnerstag,7,2013,101.90072,91.7797,596.9951,382.23907,273.2597,363.97552,212.73163,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-18,250.42659,1.0,23.25,11.0,5.0,,Croissant,Donnerstag,7,2013,647.82227,320.43533,243.5264,333.38318,282.25687,353.97427,216.7279,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-18,89.20584,1.0,23.25,11.0,5.0,,Konditorei,Donnerstag,7,2013,250.42659,150.57292,99.49353,329.15155,287.50876,345.20755,227.30968,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-18,300.3988,1.0,23.25,11.0,5.0,,Kuchen,Donnerstag,7,2013,89.20584,628.32574,380.6837,213.34375,110.37196,298.36084,189.95953,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-19,161.63512,3.0,22.475,16.0,5.0,,Brot,Freitag,7,2013,300.3988,301.77744,116.82136,183.74658,107.3187,278.3405,196.80121,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-19,646.78894,3.0,22.475,16.0,5.0,,Brötchen,Freitag,7,2013,161.63512,396.99423,558.7971,369.6076,249.87187,314.02548,239.84229,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-19,287.1883,3.0,22.475,16.0,5.0,,Croissant,Freitag,7,2013,646.78894,101.90072,287.41547,365.2041,251.81027,340.49512,222.09785,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-19,62.06361,3.0,22.475,16.0,5.0,,Konditorei,Freitag,7,2013,287.1883,647.82227,91.7797,332.0136,294.92865,256.8153,195.79868,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-19,369.4004,3.0,22.475,16.0,5.0,,Kuchen,Freitag,7,2013,62.06361,250.42659,320.43533,239.55077,159.10994,273.81158,200.26448,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-20,134.32808,0.0,23.1875,8.0,,,Brot,Samstag,7,2013,369.4004,89.20584,150.57292,188.59737,160.69487,280.2576,193.95906,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-20,843.0513,0.0,23.1875,8.0,,,Brötchen,Samstag,7,2013,134.32808,300.3988,628.32574,448.92657,360.9923,357.7794,288.67062,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-20,394.7657,0.0,23.1875,8.0,,,Croissant,Samstag,7,2013,843.0513,161.63512,301.77744,457.38168,358.4867,391.08374,275.41348,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-20,69.937,0.0,23.1875,8.0,,,Konditorei,Samstag,7,2013,394.7657,646.78894,396.99423,435.91797,388.19653,308.67633,272.43616,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-20,346.154,0.0,23.1875,8.0,,,Kuchen,Samstag,7,2013,69.937,287.1883,101.90072,270.28555,175.20113,317.1,272.57257,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-21,66.28876,0.0,26.375,8.0,,,Brot,Sonntag,7,2013,346.154,62.06361,647.82227,160.79324,160.53748,317.70358,271.91757,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-21,815.94226,0.0,26.375,8.0,,,Brötchen,Sonntag,7,2013,66.28876,369.4004,250.42659,409.46167,378.81525,381.4953,331.843,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-21,346.65823,0.0,26.375,8.0,,,Croissant,Sonntag,7,2013,815.94226,134.32808,89.20584,409.62976,378.77322,411.8282,314.74857,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-21,82.682686,0.0,26.375,8.0,,,Konditorei,Sonntag,7,2013,346.65823,843.0513,300.3988,415.0944,371.3893,303.2041,269.00714,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-21,287.4438,0.0,26.375,8.0,,,Kuchen,Sonntag,7,2013,82.682686,394.7657,161.63512,238.92824,138.51387,287.87238,265.96005,True,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-22,131.22395,0.0,26.1,9.0,,,Brot,Montag,7,2013,287.4438,69.937,646.78894,167.1168,106.99532,296.62766,258.49396,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-22,647.68274,0.0,26.1,9.0,,,Brötchen,Montag,7,2013,131.22395,346.154,287.1883,355.45016,264.86047,339.70322,291.1795,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-22,297.71262,0.0,26.1,9.0,,,Croissant,Montag,7,2013,647.68274,66.28876,62.06361,358.8731,263.60553,372.76376,267.1048,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-22,99.33539,0.0,26.1,9.0,,,Konditorei,Montag,7,2013,297.71262,815.94226,369.4004,348.2436,277.64407,270.39136,197.0892,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-22,356.48407,0.0,26.1,9.0,,,Kuchen,Montag,7,2013,99.33539,346.65823,134.32808,251.17735,134.74239,271.79504,197.75677,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-23,110.31525,0.0,24.95,12.0,,,Brot,Dienstag,7,2013,356.48407,82.682686,843.0513,188.71156,145.39893,275.74255,193.58444,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-23,691.04364,0.0,24.95,12.0,,,Brötchen,Dienstag,7,2013,110.31525,287.4438,394.7657,385.94766,291.4832,333.39966,249.63884,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-23,323.30142,0.0,24.95,12.0,,,Croissant,Dienstag,7,2013,691.04364,131.22395,69.937,374.88678,293.7808,360.8393,233.76402,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-23,70.529,0.0,24.95,12.0,,,Konditorei,Dienstag,7,2013,323.30142,647.68274,346.154,361.6247,312.0274,278.38876,216.9055,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-23,316.2968,0.0,24.95,12.0,,,Kuchen,Dienstag,7,2013,70.529,297.71262,66.28876,236.70908,143.95879,281.04364,217.29483,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-24,141.8919,3.0,24.075,11.0,,,Brot,Mittwoch,7,2013,316.2968,99.33539,815.94226,176.23924,126.43282,287.12317,211.89182,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-24,698.3409,3.0,24.075,11.0,,,Brötchen,Mittwoch,7,2013,141.8919,356.48407,346.65823,385.50986,284.60797,335.95984,263.62308,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-24,328.0231,3.0,24.075,11.0,,,Croissant,Mittwoch,7,2013,698.3409,110.31525,82.682686,389.41864,283.25946,367.06097,244.73091,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-24,83.581635,3.0,24.075,11.0,,,Konditorei,Mittwoch,7,2013,328.0231,691.04364,287.4438,369.98187,309.52002,280.28067,216.80997,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-24,327.3394,3.0,24.075,11.0,,,Kuchen,Mittwoch,7,2013,83.581635,323.30142,131.22395,246.31471,140.9314,280.85754,216.94882,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-25,167.70122,2.0,23.0875,9.0,,,Brot,Donnerstag,7,2013,327.3394,70.529,647.68274,192.87408,123.813225,294.7393,203.96817,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-25,681.2508,2.0,23.0875,9.0,,,Brötchen,Donnerstag,7,2013,167.70122,316.2968,297.71262,392.09714,262.82782,346.87555,251.50122,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
