,Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,weekday,dayofyear,day_of_week
492,2013-07-21,0.0,26.375,8,,1307211.0,1.0,66.2887578161955,,6,202,Sunday
497,2013-07-22,0.0,26.1,9,,1307221.0,1.0,131.223948997842,,0,203,Monday
502,2013-07-23,0.0,24.95,12,,1307231.0,1.0,110.315246796665,,1,204,Tuesday
507,2013-07-24,3.0,24.075,11,,1307241.0,1.0,141.891908195545,,2,205,Wednesday
512,2013-07-25,2.0,23.0875,9,,1307251.0,1.0,167.701216640907,,3,206,Thursday
517,2013-07-26,3.0,27.2625,6,,1307261.0,1.0,147.272084366206,,4,207,Friday
522,2013-07-27,1.0,26.1625,10,,1307271.0,1.0,161.403357795112,,5,208,Saturday
526,2013-07-28,4.0,24.8875,13,61.0,1307281.0,1.0,86.0791432446654,,6,209,Sunday
530,2013-07-29,1.0,22.7875,10,,1307291.0,1.0,183.564164400591,,0,210,Monday
534,2013-07-30,5.0,21.075,13,21.0,1307301.0,1.0,132.111640117897,,1,211,Tuesday
538,2013-07-31,5.0,20.275,16,65.0,1307311.0,1.0,144.745431773143,,2,212,Wednesday
542,2013-08-01,6.0,23.4,7,21.0,1308011.0,1.0,157.854023011106,,3,213,Thursday
547,2013-08-02,0.0,31.4375,7,,1308021.0,1.0,117.359342094889,,4,214,Friday
552,2013-08-03,4.0,23.3625,11,63.0,1308031.0,1.0,186.027178770079,,5,215,Saturday
557,2013-08-04,3.0,23.05,8,,1308041.0,1.0,104.708216687715,,6,216,Sunday
562,2013-08-05,0.0,25.8,10,,1308051.0,1.0,146.775309890073,,0,217,Monday
566,2013-08-06,5.0,22.225,13,,1308061.0,1.0,131.956277381283,,1,218,Tuesday
571,2013-08-07,4.0,19.2125,8,,1308071.0,1.0,160.593417296116,,2,219,Wednesday
576,2013-08-08,7.0,16.975,12,20.0,1308081.0,1.0,153.099424561652,,3,220,Thursday
581,2013-08-09,4.0,20.3375,10,21.0,1308091.0,1.0,125.620344387906,,4,221,Friday
586,2013-08-10,7.0,19.3625,12,61.0,1308101.0,1.0,185.177162656408,,5,222,Saturday
591,2013-08-11,7.0,16.3875,9,61.0,1308111.0,1.0,73.2088330039992,,6,223,Sunday
596,2013-08-12,7.0,16.45,11,63.0,1308121.0,1.0,154.504729536697,,0,224,Monday
601,2013-08-13,3.0,16.4,16,95.0,1308131.0,1.0,134.064451548102,,1,225,Tuesday
606,2013-08-14,4.0,18.2625,18,61.0,1308141.0,1.0,156.972510536869,,2,226,Wednesday
611,2013-08-15,3.0,19.8,8,,1308151.0,1.0,164.763795399756,,3,227,Thursday
616,2013-08-16,4.0,23.575,11,0.0,1308161.0,1.0,147.79799759804,,4,228,Friday
621,2013-08-17,6.0,20.55,7,0.0,1308171.0,1.0,221.630418006017,,5,229,Saturday
626,2013-08-18,7.0,18.5875,10,63.0,1308181.0,1.0,92.489778506026,,6,230,Sunday
631,2013-08-19,5.0,18.4875,8,,1308191.0,1.0,145.87913275728,,0,231,Monday
636,2013-08-20,7.0,17.775,8,61.0,1308201.0,1.0,111.842396126739,,1,232,Tuesday
641,2013-08-21,5.0,20.125,8,,1308211.0,1.0,125.336522713024,,2,233,Wednesday
646,2013-08-22,4.0,21.6625,8,,1308221.0,1.0,132.916428220302,,3,234,Thursday
651,2013-08-23,1.0,22.0375,14,,1308231.0,1.0,162.958958703106,,4,235,Friday
656,2013-08-24,0.0,20.85,16,5.0,1308241.0,1.0,201.543109556297,,5,236,Saturday
661,2013-08-25,0.0,21.3875,16,5.0,1308251.0,1.0,83.0226725739551,,6,237,Sunday
666,2013-08-26,0.0,20.125,15,5.0,1308261.0,1.0,165.829031676714,,0,238,Monday
671,2013-08-27,1.0,21.0875,12,,1308271.0,1.0,118.473650434102,,1,239,Tuesday
676,2013-08-28,0.0,21.3,7,,1308281.0,1.0,108.876991442649,,2,240,Wednesday
681,2013-08-29,3.0,20.2125,11,,1308291.0,1.0,178.178023803315,,3,241,Thursday
686,2013-08-30,6.0,19.7875,8,5.0,1308301.0,1.0,133.150828452892,,4,242,Friday
691,2013-08-31,5.0,18.35,16,21.0,1308311.0,1.0,130.821314898435,,5,243,Saturday
696,2013-09-01,7.0,15.8625,16,61.0,1309011.0,1.0,95.9704314892471,,6,244,Sunday
701,2013-09-02,7.0,16.575,17,63.0,1309021.0,1.0,138.408723210465,,0,245,Monday
706,2013-09-03,7.0,18.225,11,21.0,1309031.0,1.0,138.825618927843,,1,246,Tuesday
711,2013-09-04,7.0,18.125,5,,1309041.0,1.0,100.221969526295,,2,247,Wednesday
716,2013-09-05,0.0,21.7,8,,1309051.0,1.0,173.658100347255,,3,248,Thursday
721,2013-09-06,0.0,24.7,9,,1309061.0,1.0,171.415179710314,,4,249,Friday
726,2013-09-07,6.0,22.7625,7,,1309071.0,1.0,186.034060963767,,5,250,Saturday
731,2013-09-08,7.0,20.1625,8,61.0,1309081.0,1.0,88.8925958109828,,6,251,Sunday
736,2013-09-09,8.0,11.575,11,63.0,1309091.0,1.0,169.359968504942,,0,252,Monday
741,2013-09-10,6.0,13.5875,11,65.0,1309101.0,1.0,89.6944536084346,,1,253,Tuesday
746,2013-09-11,6.0,13.9,8,61.0,1309111.0,1.0,103.363686559795,,2,254,Wednesday
751,2013-09-12,6.0,16.1125,6,61.0,1309121.0,1.0,106.474399987548,,3,255,Thursday
756,2013-09-13,6.0,17.4375,5,21.0,1309131.0,1.0,122.564626199915,,4,256,Friday
761,2013-09-14,5.0,17.625,10,63.0,1309141.0,1.0,174.938807466572,,5,257,Saturday
766,2013-09-15,7.0,14.8625,10,21.0,1309151.0,1.0,55.1960062296304,,6,258,Sunday
771,2013-09-16,3.0,13.1375,13,21.0,1309161.0,1.0,146.760234890658,,0,259,Monday
776,2013-09-17,5.0,13.1375,10,63.0,1309171.0,1.0,136.118044538363,,1,260,Tuesday
781,2013-09-18,4.0,13.05,9,,1309181.0,1.0,152.255085210606,,2,261,Wednesday
786,2013-09-19,5.0,14.8375,11,63.0,1309191.0,1.0,148.674992078993,,3,262,Thursday
791,2013-09-20,7.0,13.525,6,,1309201.0,1.0,110.159250328825,,4,263,Friday
796,2013-09-21,7.0,15.35,9,,1309211.0,1.0,178.263887943827,,5,264,Saturday
801,2013-09-22,6.0,17.1375,14,21.0,1309221.0,1.0,86.6668973821597,,6,265,Sunday
806,2013-09-23,7.0,17.3125,14,21.0,1309231.0,1.0,111.128410563554,,0,266,Monday
811,2013-09-24,8.0,15.7375,10,,1309241.0,1.0,139.64144576808,,1,267,Tuesday
816,2013-09-25,6.0,13.5375,7,61.0,1309251.0,1.0,117.94119333604,,2,268,Wednesday
821,2013-09-26,1.0,12.9875,12,,1309261.0,1.0,203.314345156607,,3,269,Thursday
826,2013-09-27,5.0,13.0125,8,21.0,1309271.0,1.0,135.507291692088,,4,270,Friday
831,2013-09-28,0.0,13.1,8,,1309281.0,1.0,134.613756840197,,5,271,Saturday
836,2013-09-29,3.0,14.175,12,,1309291.0,1.0,68.6316896995448,,6,272,Sunday
841,2013-09-30,1.0,12.825,14,,1309301.0,1.0,156.502435955326,,0,273,Monday
846,2013-10-01,0.0,12.9125,13,5.0,1310011.0,1.0,123.397540137977,,1,274,Tuesday
851,2013-10-02,1.0,12.7,10,,1310021.0,1.0,196.720969158391,,2,275,Wednesday
856,2013-10-03,0.0,11.7625,12,5.0,1310031.0,1.0,75.2337302417469,,3,276,Thursday
861,2013-10-04,5.0,11.2,8,63.0,1310041.0,1.0,156.066122625816,,4,277,Friday
866,2013-10-05,7.0,15.575,8,20.0,1310051.0,1.0,152.280762053885,,5,278,Saturday
871,2013-10-06,7.0,15.25,6,,1310061.0,1.0,92.4805772695364,,6,279,Sunday
876,2013-10-07,1.0,16.275,7,,1310071.0,1.0,124.841544023845,,0,280,Monday
881,2013-10-08,6.0,15.1125,8,61.0,1310081.0,1.0,96.867100978839,,1,281,Tuesday
886,2013-10-09,7.0,14.3125,10,21.0,1310091.0,1.0,149.761758936995,,2,282,Wednesday
891,2013-10-10,5.0,10.975,6,,1310101.0,1.0,119.300284972145,,3,283,Thursday
896,2013-10-11,7.0,13.8625,20,10.0,1310111.0,1.0,123.2348187168,,4,284,Friday
901,2013-10-12,8.0,13.025,21,63.0,1310121.0,1.0,140.262421715801,,5,285,Saturday
906,2013-10-13,5.0,10.8625,5,,1310131.0,1.0,42.9967926268111,,6,286,Sunday
911,2013-10-14,2.0,12.525,6,,1310141.0,1.0,109.863744271226,,0,287,Monday
916,2013-10-15,7.0,10.6625,4,63.0,1310151.0,1.0,130.431802598324,,1,288,Tuesday
921,2013-10-16,8.0,12.275,7,,1310161.0,1.0,146.070583461057,,2,289,Wednesday
926,2013-10-17,7.0,12.0,15,65.0,1310171.0,1.0,89.9411837855476,,3,290,Thursday
931,2013-10-18,1.0,9.075,9,,1310181.0,1.0,111.233698203856,,4,291,Friday
936,2013-10-19,7.0,9.45,9,,1310191.0,1.0,121.590860465012,,5,292,Saturday
941,2013-10-20,7.0,15.1875,8,21.0,1310201.0,1.0,70.1419855298474,,6,293,Sunday
946,2013-10-21,7.0,14.2625,8,61.0,1310211.0,1.0,122.987868193302,,0,294,Monday
951,2013-10-22,2.0,17.6375,7,,1310221.0,1.0,111.927088663048,,1,295,Tuesday
956,2013-10-23,6.0,17.675,9,,1310231.0,1.0,125.816016210178,,2,296,Wednesday
961,2013-10-24,5.0,12.6875,12,61.0,1310241.0,1.0,123.163406361057,,3,297,Thursday
967,2013-10-25,7.0,11.8875,7,61.0,1310251.0,1.0,113.661858634409,,4,298,Friday
973,2013-10-26,5.0,16.775,10,21.0,1310261.0,1.0,161.678805315967,,5,299,Saturday
979,2013-10-27,6.0,14.9875,16,65.0,1310271.0,1.0,102.355195816072,,6,300,Sunday
985,2013-10-28,7.0,14.3625,29,63.0,1310281.0,1.0,129.482192717092,,0,301,Monday
990,2013-10-29,7.0,10.775,17,63.0,1310291.0,1.0,112.285893935052,,1,302,Tuesday
996,2013-10-30,6.0,10.4375,10,61.0,1310301.0,1.0,121.506077008915,,2,303,Wednesday
1002,2013-10-31,5.0,11.1625,13,21.0,1310311.0,1.0,133.723541287582,,3,304,Thursday
1008,2013-11-01,8.0,10.625,9,63.0,1311011.0,1.0,100.182160485504,,4,305,Friday
1014,2013-11-02,8.0,8.8875,3,63.0,1311021.0,1.0,149.172348030766,,5,306,Saturday
1020,2013-11-03,6.0,10.7,15,21.0,1311031.0,1.0,97.4532740046654,,6,307,Sunday
1026,2013-11-04,7.0,6.8375,7,63.0,1311041.0,1.0,137.864260444157,,0,308,Monday
1031,2013-11-05,4.0,8.9,12,61.0,1311051.0,1.0,103.700267261952,,1,309,Tuesday
1037,2013-11-06,4.0,8.1375,12,63.0,1311061.0,1.0,109.097001107423,,2,310,Wednesday
1043,2013-11-07,6.0,9.5,10,61.0,1311071.0,1.0,118.470603286455,,3,311,Thursday
1049,2013-11-08,3.0,9.325,9,,1311081.0,1.0,132.796244239256,,4,312,Friday
1055,2013-11-09,5.0,7.7,16,63.0,1311091.0,1.0,99.9317959514759,,5,313,Saturday
1061,2013-11-10,2.0,6.9875,12,63.0,1311101.0,1.0,108.561660295105,,6,314,Sunday
1067,2013-11-11,2.0,8.3125,5,,1311111.0,1.0,124.580485617569,,0,315,Monday
1073,2013-11-12,7.0,5.9375,9,61.0,1311121.0,1.0,111.970870543294,,1,316,Tuesday
1079,2013-11-13,1.0,8.8,12,0.0,1311131.0,1.0,78.0382483442215,,2,317,Wednesday
1085,2013-11-14,5.0,6.9375,9,21.0,1311141.0,1.0,121.180219705286,,3,318,Thursday
1091,2013-11-15,7.0,6.45,6,21.0,1311151.0,1.0,122.76929773359,,4,319,Friday
1097,2013-11-16,8.0,8.875,12,,1311161.0,1.0,126.793397398979,,5,320,Saturday
1103,2013-11-17,2.0,8.8875,8,0.0,1311171.0,1.0,74.3945185864517,,6,321,Sunday
1109,2013-11-18,7.0,6.65,5,63.0,1311181.0,1.0,129.109032642028,,0,322,Monday
1115,2013-11-19,8.0,5.8375,8,61.0,1311191.0,1.0,106.906118646237,,1,323,Tuesday
1121,2013-11-20,6.0,3.85,6,,1311201.0,1.0,124.324612351715,,2,324,Wednesday
1127,2013-11-21,2.0,3.275,8,10.0,1311211.0,1.0,144.359927455555,,3,325,Thursday
1133,2013-11-22,7.0,5.375,10,21.0,1311221.0,1.0,107.962731413831,,4,326,Friday
1139,2013-11-23,3.0,4.9125,6,,1311231.0,1.0,96.5196766761341,,5,327,Saturday
1145,2013-11-24,0.0,4.6,16,,1311241.0,1.0,76.4120061231823,,6,328,Sunday
1151,2013-11-25,0.0,3.7,10,,1311251.0,1.0,129.81992805086,,0,329,Monday
1157,2013-11-26,2.0,2.3125,6,,1311261.0,1.0,123.431703158233,,1,330,Tuesday
1163,2013-11-27,8.0,7.3125,12,61.0,1311271.0,1.0,93.5321454303922,,2,331,Wednesday
1169,2013-11-28,2.0,8.025,18,,1311281.0,1.0,128.842426194061,,3,332,Thursday
1175,2013-11-29,8.0,5.9875,11,63.0,1311291.0,1.0,104.966463375073,,4,333,Friday
1181,2013-11-30,7.0,5.525,10,20.0,1311301.0,1.0,104.09003869481,,5,334,Saturday
1186,2013-12-01,5.0,8.6625,20,61.0,1312011.0,1.0,68.0762231823542,,6,335,Sunday
1192,2013-12-02,0.0,3.0625,4,10.0,1312021.0,1.0,113.931498716313,,0,336,Monday
1198,2013-12-03,8.0,1.7125,6,28.0,1312031.0,1.0,94.7658652080226,,1,337,Tuesday
1204,2013-12-04,7.0,5.85,11,63.0,1312041.0,1.0,128.922855106228,,2,338,Wednesday
1210,2013-12-05,7.0,4.4625,24,63.0,1312051.0,1.0,120.974699669869,,3,339,Thursday
1216,2013-12-06,6.0,1.7875,25,73.0,1312061.0,1.0,112.015650593347,,4,340,Friday
1222,2013-12-07,5.0,1.0,11,22.0,1312071.0,1.0,121.408564819885,,5,341,Saturday
1228,2013-12-08,8.0,6.975,16,63.0,1312081.0,1.0,36.2650169585334,,6,342,Sunday
1234,2013-12-09,7.0,9.2375,10,45.0,1312091.0,1.0,134.680550018524,,0,343,Monday
1240,2013-12-10,7.0,7.1875,8,61.0,1312101.0,1.0,104.352034970751,,1,344,Tuesday
1246,2013-12-11,7.0,5.025,9,10.0,1312111.0,1.0,85.9079819233536,,2,345,Wednesday
1252,2013-12-12,8.0,2.525,8,28.0,1312121.0,1.0,88.2075449690532,,3,346,Thursday
1258,2013-12-13,7.0,3.5375,6,61.0,1312131.0,1.0,85.5324935340658,,4,347,Friday
1263,2013-12-14,7.0,3.0125,7,61.0,1312141.0,1.0,120.787742012371,,5,348,Saturday
1268,2013-12-15,8.0,7.925,12,61.0,1312151.0,1.0,71.5352172710921,,6,349,Sunday
1274,2013-12-16,8.0,8.775,12,,1312161.0,1.0,120.791211521354,,0,350,Monday
1280,2013-12-17,8.0,4.95,8,61.0,1312171.0,1.0,74.6283250889016,,1,351,Tuesday
1286,2013-12-18,7.0,6.85,8,10.0,1312181.0,1.0,86.4115250991858,,2,352,Wednesday
1292,2013-12-19,7.0,7.4,10,63.0,1312191.0,1.0,101.589644453608,,3,353,Thursday
1298,2013-12-20,7.0,5.2875,10,61.0,1312201.0,1.0,114.601001275823,,4,354,Friday
1304,2013-12-21,8.0,6.5625,13,63.0,1312211.0,1.0,124.541759682586,,5,355,Saturday
1310,2013-12-22,7.0,8.1375,12,61.0,1312221.0,1.0,41.7300439888931,,6,356,Sunday
1316,2013-12-23,3.0,5.4875,10,,1312231.0,1.0,183.608991270752,,0,357,Monday
1322,2013-12-24,7.0,11.4375,18,61.0,1312241.0,1.0,220.330670230618,,1,358,Tuesday
1329,2013-12-27,7.0,5.7625,15,63.0,1312271.0,1.0,152.367434643543,,4,361,Friday
1335,2013-12-29,7.0,5.7125,9,63.0,1312291.0,1.0,131.267289010755,,6,363,Sunday
1341,2013-12-30,4.0,4.75,11,10.0,1312301.0,1.0,126.58984459848,,0,364,Monday
1346,2013-12-31,4.0,5.0375,7,,1312311.0,1.0,211.390838466052,,1,365,Tuesday
1351,2014-01-02,7.0,6.25,9,63.0,1401021.0,1.0,153.166492227541,,3,2,Thursday
1357,2014-01-03,7.0,6.8375,10,63.0,1401031.0,1.0,109.484763536521,,4,3,Friday
1362,2014-01-04,5.0,6.9375,11,,1401041.0,1.0,116.250540066432,,5,4,Saturday
1367,2014-01-05,7.0,6.1875,11,63.0,1401051.0,1.0,67.7899909491401,,6,5,Sunday
1372,2014-01-06,7.0,7.9125,11,65.0,1401061.0,1.0,146.911067784297,,0,6,Monday
1377,2014-01-07,7.0,10.4375,13,,1401071.0,1.0,147.5457609484,,1,7,Tuesday
1382,2014-01-08,7.0,8.6375,15,63.0,1401081.0,1.0,99.9068767897401,,2,8,Wednesday
1387,2014-01-09,7.0,9.6125,16,61.0,1401091.0,1.0,113.541525918277,,3,9,Thursday
1392,2014-01-10,7.0,6.6375,17,61.0,1401101.0,1.0,119.05554059635,,4,10,Friday
1397,2014-01-11,7.0,5.5875,18,63.0,1401111.0,1.0,127.95986526115,,5,11,Saturday
1402,2014-01-12,2.0,5.525,16,21.0,1401121.0,1.0,83.4017498521773,,6,12,Sunday
1407,2014-01-13,8.0,3.1375,10,69.0,1401131.0,1.0,103.994034974792,,0,13,Monday
1412,2014-01-14,6.0,4.225,6,28.0,1401141.0,1.0,166.347532764571,,1,14,Tuesday
1417,2014-01-15,7.0,3.228571,7,28.0,1401151.0,1.0,139.042567223334,,2,15,Wednesday
1422,2014-01-16,8.0,2.7375,9,63.0,1401161.0,1.0,117.779119691395,,3,16,Thursday
1427,2014-01-17,7.0,6.7375,4,61.0,1401171.0,1.0,94.7938386484339,,4,17,Friday
1432,2014-01-18,7.0,5.8875,8,61.0,1401181.0,1.0,102.633649837911,,5,18,Saturday
1437,2014-01-19,7.0,2.8625,19,10.0,1401191.0,1.0,53.0014671833047,,6,19,Sunday
1442,2014-01-20,8.0,0.3875,13,61.0,1401201.0,1.0,99.6819363621683,,0,20,Monday
1447,2014-01-21,7.0,-0.65,7,77.0,1401211.0,1.0,116.784600007305,,1,21,Tuesday
1452,2014-01-22,8.0,-3.1125,14,22.0,1401221.0,1.0,102.344424741026,,2,22,Wednesday
1457,2014-01-23,8.0,-3.1875,11,22.0,1401231.0,1.0,105.740276056438,,3,23,Thursday
1462,2014-01-24,2.0,-5.1625,13,10.0,1401241.0,1.0,143.164448746188,,4,24,Friday
1467,2014-01-25,5.0,-7.0375,8,,1401251.0,1.0,129.09233380561,,5,25,Saturday
1472,2014-01-26,1.0,-8.475,10,10.0,1401261.0,1.0,65.4883238458282,,6,26,Sunday
1477,2014-01-27,5.0,0.7,9,69.0,1401271.0,1.0,177.797639286942,,0,27,Monday
1482,2014-01-28,7.0,-0.2625,10,10.0,1401281.0,1.0,63.9844736113181,,1,28,Tuesday
1487,2014-01-29,7.0,-5.05,13,77.0,1401291.0,1.0,75.1156293987916,,2,29,Wednesday
1492,2014-01-30,7.0,-4.4875,8,77.0,1401301.0,1.0,140.794194214435,,3,30,Thursday
1497,2014-01-31,8.0,-3.6875,7,10.0,1401311.0,1.0,133.303478983532,,4,31,Friday
1502,2014-02-01,7.0,3.225,10,63.0,1402011.0,1.0,101.932146850505,,5,32,Saturday
1507,2014-02-02,0.0,5.4875,8,,1402021.0,1.0,76.7574943519772,,6,33,Sunday
1512,2014-02-03,1.0,3.475,8,10.0,1402031.0,1.0,154.323103655617,,0,34,Monday
1517,2014-02-04,5.0,3.925,6,10.0,1402041.0,1.0,130.284962020954,,1,35,Tuesday
1522,2014-02-05,4.0,3.675,8,10.0,1402051.0,1.0,128.512982776585,,2,36,Wednesday
1527,2014-02-06,7.0,7.875,11,20.0,1402061.0,1.0,93.2145715747619,,3,37,Thursday
1532,2014-02-07,7.0,8.475,15,63.0,1402071.0,1.0,99.7607356052368,,4,38,Friday
1537,2014-02-08,7.0,6.2875,12,61.0,1402081.0,1.0,120.862739831777,,5,39,Saturday
1542,2014-02-09,5.0,6.7125,15,63.0,1402091.0,1.0,57.0074894928223,,6,40,Sunday
1547,2014-02-10,2.0,6.6375,9,,1402101.0,1.0,154.183743327497,,0,41,Monday
1552,2014-02-11,7.0,4.925,12,61.0,1402111.0,1.0,93.60500318626259,,1,42,Tuesday
1557,2014-02-12,4.0,6.1,13,10.0,1402121.0,1.0,165.738384661521,,2,43,Wednesday
1562,2014-02-13,5.0,7.45,13,,1402131.0,1.0,112.481302733138,,3,44,Thursday
1567,2014-02-14,5.0,5.2125,9,10.0,1402141.0,1.0,127.922310495651,,4,45,Friday
1572,2014-02-15,5.0,11.5,15,,1402151.0,1.0,169.517528839106,,5,46,Saturday
1577,2014-02-16,7.0,6.0625,17,63.0,1402161.0,1.0,66.1488570531461,,6,47,Sunday
1582,2014-02-17,0.0,6.6875,9,,1402171.0,1.0,139.563931976797,,0,48,Monday
1587,2014-02-18,7.0,7.8,8,10.0,1402181.0,1.0,101.128808084497,,1,49,Tuesday
1592,2014-02-19,7.0,6.325,8,61.0,1402191.0,1.0,139.712963296062,,2,50,Wednesday
1597,2014-02-20,6.0,9.1,11,10.0,1402201.0,1.0,115.493305434483,,3,51,Thursday
1602,2014-02-21,7.0,7.5125,11,61.0,1402211.0,1.0,195.749507104036,,4,52,Friday
1607,2014-02-22,7.0,5.925,11,21.0,1402221.0,1.0,138.333592943018,,5,53,Saturday
1612,2014-02-23,1.0,8.625,12,,1402231.0,1.0,79.4422222430818,,6,54,Sunday
1617,2014-02-24,1.0,9.4125,11,,1402241.0,1.0,152.556733984074,,0,55,Monday
1622,2014-02-25,1.0,10.475,7,,1402251.0,1.0,115.741936459404,,1,56,Tuesday
1627,2014-02-26,5.0,10.1875,8,,1402261.0,1.0,95.0173566075507,,2,57,Wednesday
1632,2014-02-27,1.0,8.8875,7,10.0,1402271.0,1.0,142.599019478366,,3,58,Thursday
1637,2014-02-28,7.0,6.1875,6,61.0,1402281.0,1.0,121.868073185287,,4,59,Friday
1642,2014-03-01,2.0,5.075,9,10.0,1403011.0,1.0,140.96854447309,,5,60,Saturday
1647,2014-03-02,6.0,6.5625,9,10.0,1403021.0,1.0,78.304687930775,,6,61,Sunday
1652,2014-03-03,0.0,9.1875,10,5.0,1403031.0,1.0,123.816845981151,,0,62,Monday
1657,2014-03-04,7.0,6.6875,7,10.0,1403041.0,1.0,110.664379295042,,1,63,Tuesday
1662,2014-03-05,7.0,4.6875,7,28.0,1403051.0,1.0,104.010771805795,,2,64,Wednesday
1667,2014-03-06,3.0,8.925,9,10.0,1403061.0,1.0,119.64957040592,,3,65,Thursday
1672,2014-03-07,6.0,11.275,10,5.0,1403071.0,1.0,115.297355656246,,4,66,Friday
1677,2014-03-08,0.0,9.9375,6,,1403081.0,1.0,116.679903321343,,5,67,Saturday
1682,2014-03-09,0.0,16.4,9,,1403091.0,1.0,92.618539664325,,6,68,Sunday
1687,2014-03-10,0.0,15.8,9,,1403101.0,1.0,150.516891177572,,0,69,Monday
1692,2014-03-11,0.0,7.85,9,,1403111.0,1.0,151.221168841794,,1,70,Tuesday
1697,2014-03-12,0.0,10.2125,8,0.0,1403121.0,1.0,91.0474158512995,,2,71,Wednesday
1702,2014-03-13,0.0,13.375,10,,1403131.0,1.0,141.400369720196,,3,72,Thursday
1707,2014-03-14,1.0,9.6125,10,,1403141.0,1.0,123.912083680615,,4,73,Friday
1712,2014-03-15,4.0,9.0375,27,,1403151.0,1.0,137.683942432828,,5,74,Saturday
1717,2014-03-16,7.0,9.3375,24,61.0,1403161.0,1.0,67.1675793738149,,6,75,Sunday
1722,2014-03-17,7.0,9.5875,18,61.0,1403171.0,1.0,141.547905542998,,0,76,Monday
1727,2014-03-18,7.0,9.6875,16,21.0,1403181.0,1.0,88.2250444509535,,1,77,Tuesday
1732,2014-03-19,7.0,9.45,18,61.0,1403191.0,1.0,99.6845823880711,,2,78,Wednesday
1737,2014-03-20,0.0,16.2625,13,,1403201.0,1.0,128.138232106811,,3,79,Thursday
1742,2014-03-21,7.0,6.8875,14,63.0,1403211.0,1.0,104.8547456835,,4,80,Friday
1747,2014-03-22,5.0,8.85,11,63.0,1403221.0,1.0,130.851901605861,,5,81,Saturday
1752,2014-03-23,4.0,8.3625,10,,1403231.0,1.0,71.128447822127,,6,82,Sunday
1757,2014-03-24,3.0,7.5625,7,,1403241.0,1.0,174.642338237835,,0,83,Monday
1762,2014-03-25,2.0,7.725,10,21.0,1403251.0,1.0,130.828394911681,,1,84,Tuesday
1767,2014-03-26,5.0,7.85,11,21.0,1403261.0,1.0,164.073709880608,,2,85,Wednesday
1772,2014-03-27,6.0,5.1,12,,1403271.0,1.0,217.595707302914,,3,86,Thursday
1777,2014-03-28,8.0,5.4,12,10.0,1403281.0,1.0,210.364589078685,,4,87,Friday
1782,2014-03-29,3.0,9.375,8,10.0,1403291.0,1.0,201.442576014825,,5,88,Saturday
1787,2014-03-30,0.0,11.2625,8,28.0,1403301.0,1.0,77.0718729480323,,6,89,Sunday
1792,2014-03-31,7.0,7.4375,4,45.0,1403311.0,1.0,165.782083579859,,0,90,Monday
1797,2014-04-01,8.0,5.7625,13,10.0,1404011.0,1.0,143.934571968464,,1,91,Tuesday
1802,2014-04-02,2.0,12.45,8,10.0,1404021.0,1.0,145.793768476637,,2,92,Wednesday
1807,2014-04-03,3.0,7.6125,15,10.0,1404031.0,1.0,199.334213779063,,3,93,Thursday
1812,2014-04-04,6.0,6.45,15,0.0,1404041.0,1.0,149.094869799179,,4,94,Friday
1817,2014-04-05,8.0,9.825,5,61.0,1404051.0,1.0,166.366651532902,,5,95,Saturday
